file_a: /home/margotte/shap-text-gpu/out/sample0_shap_permutation.txt
file_b: /home/margotte/shap-text-gpu/out/sample0_shap.txt
n_compared: 64
mean_diff: 0.0009619589178313614
mean_abs_diff: 0.0037487677016432874
idx	token_id	token_str	shap_a	shap_b	diff	abs_diff
41	2532	##na	0.001234091552240508	-0.000870992	-0.002105083552240508	0.002105083552240508
42	4430	##ah	0.010211862889783723	-9.14671e-05	-0.010303329989783722	0.010303329989783722
43	2143	film	0.002376958727836609	-0.000168957	-0.002545915727836609	0.002545915727836609
44	2782	festival	9.961452867303575e-05	-0.000328507	-0.00042812152867303574	0.00042812152867303574
45	1998	and	-0.0013746023178100586	-0.000447511	0.0009270913178100585	0.0009270913178100585
46	2245	thought	-0.0005902498960494995	-0.00050925	8.099989604949947e-05	8.099989604949947e-05
47	2009	it	-0.0027869540665830883	-0.000100921	0.0026860330665830884	0.0026860330665830884
48	2001	was	-0.002105103273476873	0.00263586	0.004740963273476873	0.004740963273476873
49	1996	the	-0.002978656440973282	0.00246579	0.005444446440973282	0.005444446440973282
50	2190	best	0.004064942310963359	0.00257886	-0.0014860823109633585	0.0014860823109633585
51	1997	of	-0.002787461504340172	-0.000362594	0.002424867504340172	0.002424867504340172
52	1996	the	-0.00046696726764951436	0.00240598	0.0028729472676495144	0.0028729472676495144
53	9129	bunch	0.004170329709138189	7.85694e-05	-0.004091760309138189	0.004091760309138189
54	1012	.	0.0011075631316219056	-0.000291476	-0.0013990391316219056	0.0013990391316219056
55	2852	dr	0.005928777424352509	-0.000195734	-0.00612451142435251	0.00612451142435251
56	3240	##ey	0.0009691457131079265	0.00054926	-0.0004198857131079265	0.0004198857131079265
57	2050	##a	-0.0009114210094724383	-0.00100292	-9.149899052756174e-05	9.149899052756174e-05
58	13351	weber	-0.01794399693608284	-0.000702895	0.01724110193608284	0.01724110193608284
59	2003	is	0.00043317915073462894	-0.000254343	-0.0006875221507346289	0.0006875221507346289
60	1037	a	-0.0015509376036269324	0.00252746	0.004078397603626932	0.004078397603626932
61	8348	marvel	-0.003027750179171562	0.00308331	0.006111060179171563	0.006111060179171563
62	2428	really	-0.0018079496387924468	0.0023109	0.004118849638792447	0.004118849638792447
63	102	[SEP]	-2.786836453846523e-05	-0.000560813	-0.0005329446354615348	0.0005329446354615348
